intake_year,school_name,la_code,estab_code,dfe_no,criterion,criterion_category,criterion_description,priority,criterion_offers
2021,Badshot Lea Village Infant School,936,2415,936/2415,Children of staff,Family Ties,Children of staff,3,0
2021,Badshot Lea Village Infant School,936,2415,936/2415,Siblings,Family Ties,"Children who will have a sibling at the school or at an infant/junior school which operates shared sibling priority, at the time of the child’s admission",4,11
2021,Badshot Lea Village Infant School,936,2415,936/2415,Nearest School,Defined Residence,Children for whom the school is the nearest to their home address as measured by straight line - the nearest school will be the school closest to the home address that has a Published Admission Number to admit pupils of the appropriate age range and which admits local children. The nearest school may be either inside or outside the county boundary.,5,11
2021,Badshot Lea Village Infant School,936,2415,936/2415,Others by Distance,Distance,"Any other children, prioritised according to the distance they live from the school",6,23
2021,Badshot Lea Village Infant School,936,2415,936/2415,Centrally offered,Central & Lates,Children offered a place but for whom this school was not one of their preferred schools,7,0
2021,Badshot Lea Village Infant School,936,2415,936/2415,EHCP,Priority,"Children with an Education, Health and Care Plan",8,0
2021,Badshot Lea Village Infant School,936,2415,936/2415,Lates,Central & Lates,Places offered to children of applicants who had applied late,9,0
2021,Beacon Hill Primary School,936,2136,936/2136,LAC & PLAC,Priority,Looked after and previously looked after children,1,0
2021,Beacon Hill Primary School,936,2136,936/2136,Exceptional,Priority,Exceptional social/medical need,2,0
2021,Beacon Hill Primary School,936,2136,936/2136,Children of staff,Family Ties,Children of staff,3,0
2021,Beacon Hill Primary School,936,2136,936/2136,Siblings,Family Ties,"Children who will have a sibling at the school or at an infant/junior school which operates shared sibling priority, at the time of the child’s admission",4,6
2021,Beacon Hill Primary School,936,2136,936/2136,Nearest School,Defined Residence,Children for whom the school is the nearest to their home address as measured by straight line - the nearest school will be the school closest to the home address that has a Published Admission Number to admit pupils of the appropriate age range and which admits local children. The nearest school may be either inside or outside the county boundary.,5,10
2021,Beacon Hill Primary School,936,2136,936/2136,Others by Distance,Distance,"Any other children, prioritised according to the distance they live from the school",6,4
2021,Beacon Hill Primary School,936,2136,936/2136,Centrally offered,Central & Lates,Children offered a place but for whom this school was not one of their preferred schools,7,0
2021,Beacon Hill Primary School,936,2136,936/2136,EHCP,Priority,"Children with an Education, Health and Care Plan",8,0
2021,Beacon Hill Primary School,936,2136,936/2136,Lates,Central & Lates,Places offered to children of applicants who had applied late,9,3
2021,Bramley Church of England (Aided) Infant School,936,3925,936/3925,LAC & PLAC,Priority,Looked after and previously looked after children,1,0
2021,Bramley Church of England (Aided) Infant School,936,3925,936/3925,Exceptional,Priority,Exceptional social/medical need,2,0
2021,Bramley Church of England (Aided) Infant School,936,3925,936/3925,Siblings,Family Ties,"Children who will have a sibling at the school or at an infant/junior school which operates shared sibling priority, at the time of the child’s admission",3,6
2021,Bramley Church of England (Aided) Infant School,936,3925,936/3925,Resident in Parish,Defined Residence,Children of families living within the Ecclesiastical Parishes of Bramley and Grafham,4,12
2021,Bramley Church of England (Aided) Infant School,936,3925,936/3925,Practising worship in Parish,Religion,Children of families who can show membership of a Church of England Church within the Ecclesiastical Parishes of Bramley and Grafham,5,0
2021,Bramley Church of England (Aided) Infant School,936,3925,936/3925,Practising worship outside Parish,Religion,"Children of families living outside the Ecclesiastical Parishes of Bramley and Grafham, who can show membership of a Parish Church",6,0
2021,Bramley Church of England (Aided) Infant School,936,3925,936/3925,Others by Distance,Distance,"Any other children, prioritised according to the distance they live from the school",7,5
2021,Bramley Church of England (Aided) Infant School,936,3925,936/3925,Centrally offered,Central & Lates,Children offered a place but for whom this school was not one of their preferred schools,8,0
2021,Bramley Church of England (Aided) Infant School,936,3925,936/3925,EHCP,Priority,"Children with an Education, Health and Care Plan",9,0
2021,Bramley Church of England (Aided) Infant School,936,3925,936/3925,Lates,Central & Lates,Places offered to children of applicants who had applied late,10,1
2021,Busbridge Infant School,936,2917,936/2917,LAC & PLAC,Priority,Looked after and previously looked after children,1,0
2021,Busbridge Infant School,936,2917,936/2917,Exceptional,Priority,Exceptional social/medical need,2,0
2021,Busbridge Infant School,936,2917,936/2917,Siblings,Family Ties,"Children who will have a sibling at the school or at an infant/junior school which operates shared sibling priority, at the time of the child’s admission",3,8
2021,Busbridge Infant School,936,2917,936/2917,Nearest School,Defined Residence,Children for whom the school is the nearest to their home address as measured by straight line - the nearest school will be the school closest to the home address that has a Published Admission Number to admit pupils of the appropriate age range and which admits local children. The nearest school may be either inside or outside the county boundary.,4,25
2021,Busbridge Infant School,936,2917,936/2917,Others by Distance,Distance,"Any other children, prioritised according to the distance they live from the school",5,26
2021,Busbridge Infant School,936,2917,936/2917,Centrally offered,Central & Lates,Children offered a place but for whom this school was not one of their preferred schools,6,0
2021,Busbridge Infant School,936,2917,936/2917,EHCP,Priority,"Children with an Education, Health and Care Plan",7,1
2021,Busbridge Infant School,936,2917,936/2917,Lates,Central & Lates,Places offered to children of applicants who had applied late,8,0
2021,Cranleigh Church of England Primary School,936,3944,936/3944,LAC & PLAC,Priority,Looked after and previously looked after children,1,0
2021,Cranleigh Church of England Primary School,936,3944,936/3944,Exceptional,Priority,Exceptional social/medical need,2,0
2021,Cranleigh Church of England Primary School,936,3944,936/3944,Children of staff,Family Ties,Children of staff,3,0
2021,Cranleigh Church of England Primary School,936,3944,936/3944,Siblings,Family Ties,"Children who will have a sibling at the school or at an infant/junior school which operates shared sibling priority, at the time of the child’s admission",4,5
2021,Cranleigh Church of England Primary School,936,3944,936/3944,Nearest School,Defined Residence,Children for whom the school is the nearest to their home address as measured by straight line - the nearest school will be the school closest to the home address that has a Published Admission Number to admit pupils of the appropriate age range and which admits local children. The nearest school may be either inside or outside the county boundary.,5,1
2021,Cranleigh Church of England Primary School,936,3944,936/3944,Others by Distance,Distance,"Any other children, prioritised according to the distance they live from the school",6,3
2021,Cranleigh Church of England Primary School,936,3944,936/3944,Centrally offered,Central & Lates,Children offered a place but for whom this school was not one of their preferred schools,7,4
2021,Cranleigh Church of England Primary School,936,3944,936/3944,EHCP,Priority,"Children with an Education, Health and Care Plan",8,0
2021,Cranleigh Church of England Primary School,936,3944,936/3944,Lates,Central & Lates,Places offered to children of applicants who had applied late,9,3
2021,Ewhurst Church of England (Aided) Infant School,936,3344,936/3344,LAC & PLAC,Priority,Looked after and previously looked after children,1,0
2021,Ewhurst Church of England (Aided) Infant School,936,3344,936/3344,Exceptional,Priority,Exceptional social/medical need,2,0
2021,Ewhurst Church of England (Aided) Infant School,936,3344,936/3344,Siblings,Family Ties,"Children who will have a sibling at the school or at an infant/junior school which operates shared sibling priority, at the time of the child’s admission",3,6
2021,Ewhurst Church of England (Aided) Infant School,936,3344,936/3344,Siblings of Former Pupils,Family Ties,Siblings of former pupils who have left the school in the three years prior to application,4,1
2021,Ewhurst Church of England (Aided) Infant School,936,3344,936/3344,Resident in Parish,Defined Residence,Children who live in the Ecclesiastical Parish of Ewhurst with Okewood and Forest Green,5,13
2021,Ewhurst Church of England (Aided) Infant School,936,3344,936/3344,Baptised CofE,Religion,Children who have been baptised into the Church of England,6,1
2021,Ewhurst Church of England (Aided) Infant School,936,3344,936/3344,Baptised Other Christian,Religion,Baptised children of other Christian denominations,7,0
2021,Ewhurst Church of England (Aided) Infant School,936,3344,936/3344,Practising worship,Religion,Children whose parents are of the Christian faith and attend their local church regularly (monthly) for at least two years,8,0
2021,Ewhurst Church of England (Aided) Infant School,936,3344,936/3344,Others by Distance,Distance,Children living outside the area specified in criterion 5 whose parents wish their child to attend this Church of England school,9,5
2021,Ewhurst Church of England (Aided) Infant School,936,3344,936/3344,Centrally offered,Central & Lates,Children offered a place but for whom this school was not one of their preferred schools,10,0
2021,Ewhurst Church of England (Aided) Infant School,936,3344,936/3344,EHCP,Priority,"Children with an Education, Health and Care Plan",11,0
2021,Ewhurst Church of England (Aided) Infant School,936,3344,936/3344,Lates,Central & Lates,Places offered to children of applicants who had applied late,12,0
2021,Farncombe Church of England Infant School,936,3026,936/3026,LAC & PLAC,Priority,Looked after and previously looked after children,1,0
2021,Farncombe Church of England Infant School,936,3026,936/3026,Exceptional,Priority,Exceptional social/medical need,2,0
2021,Farncombe Church of England Infant School,936,3026,936/3026,Children of staff,Family Ties,Children of staff,3,0
2021,Farncombe Church of England Infant School,936,3026,936/3026,Siblings,Family Ties,"Children who will have a sibling at the school or at an infant/junior school which operates shared sibling priority, at the time of the child’s admission",4,13
2021,Farncombe Church of England Infant School,936,3026,936/3026,Nearest School,Defined Residence,Children for whom the school is the nearest to their home address as measured by straight line - the nearest school will be the school closest to the home address that has a Published Admission Number to admit pupils of the appropriate age range and which admits local children. The nearest school may be either inside or outside the county boundary.,5,32
2021,Farncombe Church of England Infant School,936,3026,936/3026,Others by Distance,Distance,"Any other children, prioritised according to the distance they live from the school",6,3
2021,Farncombe Church of England Infant School,936,3026,936/3026,Centrally offered,Central & Lates,Children offered a place but for whom this school was not one of their preferred schools,7,0
2021,Farncombe Church of England Infant School,936,3026,936/3026,EHCP,Priority,"Children with an Education, Health and Care Plan",8,1
2021,Farncombe Church of England Infant School,936,3026,936/3026,Lates,Central & Lates,Places offered to children of applicants who had applied late,9,0
2021,Folly Hill Infant School,936,2408,936/2408,LAC & PLAC,Priority,Looked after and previously looked after children,1,0
2021,Folly Hill Infant School,936,2408,936/2408,Exceptional,Priority,Exceptional social/medical need,2,0
2021,Folly Hill Infant School,936,2408,936/2408,Children of staff,Family Ties,Children of staff,3,0
2021,Folly Hill Infant School,936,2408,936/2408,Siblings,Family Ties,"Children who will have a sibling at the school or at an infant/junior school which operates shared sibling priority, at the time of the child’s admission",4,7
2021,Folly Hill Infant School,936,2408,936/2408,Nearest School,Defined Residence,Children for whom the school is the nearest to their home address as measured by straight line - the nearest school will be the school closest to the home address that has a Published Admission Number to admit pupils of the appropriate age range and which admits local children. The nearest school may be either inside or outside the county boundary.,5,4
2021,Folly Hill Infant School,936,2408,936/2408,Others by Distance,Distance,"Any other children, prioritised according to the distance they live from the school",6,10
2021,Folly Hill Infant School,936,2408,936/2408,Centrally offered,Central & Lates,Children offered a place but for whom this school was not one of their preferred schools,7,0
2021,Folly Hill Infant School,936,2408,936/2408,EHCP,Priority,"Children with an Education, Health and Care Plan",8,0
2021,Folly Hill Infant School,936,2408,936/2408,Lates,Central & Lates,Places offered to children of applicants who had applied late,9,1
2021,Grayswood Church of England (Aided) Primary School,936,3927,936/3927,LAC & PLAC,Priority,Looked after and previously looked after children,1,0
2021,Grayswood Church of England (Aided) Primary School,936,3927,936/3927,Exceptional,Priority,Children with serious medical conditions or sensitive family circumstances,2,0
2021,Grayswood Church of England (Aided) Primary School,936,3927,936/3927,Siblings,Family Ties,"Children who will have a sibling at the school or at an infant/junior school which operates shared sibling priority, at the time of the child’s admission",3,13
2021,Grayswood Church of England (Aided) Primary School,936,3927,936/3927,Children of staff,Family Ties,"Children of staff who are employed at the school and who meet one of the following conditions a) employed for two or more years at the time at which the application for admission to the school is made, and/or b) the member of staff is recruited to fill a vacant post for which there is a demonstrable skill shortage",4,1
2021,Grayswood Church of England (Aided) Primary School,936,3927,936/3927,Resident in Parish,Defined Residence,"Children who live within the ecclesiastical parish boundary of All Saints, Grayswood",5,3
2021,Grayswood Church of England (Aided) Primary School,936,3927,936/3927,Practising worship in Parish,Religion,"Children who live outside the ecclesiastical parish boundary of All Saints, Grayswood and whose parents worship at All Saints Church, Grayswood",6,0
2021,Grayswood Church of England (Aided) Primary School,936,3927,936/3927,Practising Anglican worship outside Parish,Religion,"Children who live outside the ecclesiastical parish boundary of All Saints, Grayswood and whose parents worship at another Anglican Church",7,2
2021,Grayswood Church of England (Aided) Primary School,936,3927,936/3927,Practising Christian worship outside Parish,Religion,"Children who live outside the ecclesiastical parish boundary of All Saints, Grayswood and whose parents worship at another Christian church",8,1
2021,Grayswood Church of England (Aided) Primary School,936,3927,936/3927,Others by Distance,Distance,Any other child whose parents wish them to attend Grayswood Church of England (Aided) Primary School,9,10
2021,Grayswood Church of England (Aided) Primary School,936,3927,936/3927,Centrally offered,Central & Lates,Children offered a place but for whom this school was not one of their preferred schools,10,0
2021,Grayswood Church of England (Aided) Primary School,936,3927,936/3927,EHCP,Priority,"Children with an Education, Health and Care Plan",11,0
2021,Grayswood Church of England (Aided) Primary School,936,3927,936/3927,Lates,Central & Lates,Places offered to children of applicants who had applied late,12,0
2021,Hale School,936,2957,936/2957,LAC & PLAC,Priority,Looked after and previously looked after children,1,0
2021,Hale School,936,2957,936/2957,Exceptional,Priority,Exceptional social/medical need,2,0
2021,Hale School,936,2957,936/2957,Children of staff,Family Ties,"Children of staff who are employed at the school and who meet one of the following conditions a) employed for two or more years at the time at which the application for admission to the school is made, and/or b) the member of staff is recruited to fill a vacant post for which there is a demonstrable skill shortage. ",3,1
2021,Hale School,936,2957,936/2957,Siblings,Family Ties,"Children who will have a sibling at the school or at an infant/junior school which operates shared sibling priority, at the time of the child’s admission",4,11
2021,Hale School,936,2957,936/2957,Nearest School,Defined Residence,Children for whom the school is the nearest to their home address as measured by straight line - the nearest school will be the school closest to the home address that has a Published Admission Number to admit pupils of the appropriate age range and which admits local children. The nearest school may be either inside or outside the county boundary.,5,6
2021,Hale School,936,2957,936/2957,Others by Distance,Distance,"Any other children, prioritised according to the distance they live from the school",6,7
2021,Hale School,936,2957,936/2957,Centrally offered,Central & Lates,Children offered a place but for whom this school was not one of their preferred schools,7,1
2021,Hale School,936,2957,936/2957,EHCP,Priority,"Children with an Education, Health and Care Plan",8,0
2021,Hale School,936,2957,936/2957,Lates,Central & Lates,Places offered to children of applicants who had applied late,9,5
2021,Highfield South Farnham Primary School,936,2033,936/2033,LAC & PLAC,Priority,Looked after and previously looked after children,1,0
2021,Highfield South Farnham Primary School,936,2033,936/2033,Exceptional,Priority,Exceptional social/medical need,2,0
2021,Highfield South Farnham Primary School,936,2033,936/2033,Children of staff,Family Ties,"Children of staff, priority will be given to children of members of the senior leadership team who have been employed at the school for two or more years and for new staff employed to a difficult to recruit position",3,0
2021,Highfield South Farnham Primary School,936,2033,936/2033,Siblings,Family Ties,"Children who will have a sibling at the school or at an infant/junior school which operates shared sibling priority, at the time of the child’s admission",4,17
2021,Highfield South Farnham Primary School,936,2033,936/2033,Others by Distance,Distance,"Any other children, prioritised according to the distance they live from the school",5,27
2021,Highfield South Farnham Primary School,936,2033,936/2033,Centrally offered,Central & Lates,Children offered a place but for whom this school was not one of their preferred schools,6,0
2021,Highfield South Farnham Primary School,936,2033,936/2033,EHCP,Priority,"Children with an Education, Health and Care Plan",7,0
2021,Highfield South Farnham Primary School,936,2033,936/2033,Lates,Central & Lates,Places offered to children of applicants who had applied late,8,3
2021,Loseley Fields Primary School,936,3939,936/3939,LAC & PLAC,Priority,Looked after and previously looked after children,1,0
2021,Loseley Fields Primary School,936,3939,936/3939,Exceptional,Priority,Exceptional social/medical need,2,0
2021,Loseley Fields Primary School,936,3939,936/3939,Siblings,Family Ties,"Children who will have a sibling at the school or at an infant/junior school which operates shared sibling priority, at the time of the child’s admission",3,23
2021,Loseley Fields Primary School,936,3939,936/3939,Children of staff,Family Ties,Children of permanent members of staff where the member of staff has been employed at the school for two or more years at the time at which the application for admission to the school is made; and/or the member of staff is recruited to fill a vacant post for which there is a demonstrable skill shortage,4,0
2021,Loseley Fields Primary School,936,3939,936/3939,Nearest School,Defined Residence,Children for whom the school is the nearest to their home address as measured by straight line - the nearest school will be the school closest to the home address that has a Published Admission Number to admit pupils of the appropriate age range and which admits local children. The nearest school may be either inside or outside the county boundary.,5,12
2021,Loseley Fields Primary School,936,3939,936/3939,Others by Distance,Distance,"Any other children, prioritised according to the distance they live from the school",6,17
2021,Loseley Fields Primary School,936,3939,936/3939,Centrally offered,Central & Lates,Children offered a place but for whom this school was not one of their preferred schools,7,0
2021,Loseley Fields Primary School,936,3939,936/3939,EHCP,Priority,"Children with an Education, Health and Care Plan",8,1
2021,Loseley Fields Primary School,936,3939,936/3939,Lates,Central & Lates,Places offered to children of applicants who had applied late,9,2
2021,Milford School,936,2315,936/2315,LAC & PLAC,Priority,Looked after and previously looked after children,1,0
2021,Milford School,936,2315,936/2315,Exceptional,Priority,Exceptional social/medical need,2,0
2021,Milford School,936,2315,936/2315,Children of staff,Family Ties,Children whose parent is a permanent member of staff at the school and meets either or both of the following circumstances: a) the member of staff has been employed at Milford school for two or more years at the time at which the application for admission to the school is made; and/or b) the member of staff is recruited to fill a vacant post for which there is a demonstrable skill shortage.,3,0
2021,Milford School,936,2315,936/2315,Future Sibling,Family Ties,Children who will have at least one sibling on roll at Milford School at the time of admission. ,4,14
2021,Milford School,936,2315,936/2315,Siblings,Family Ties,Children who have at least one sibling on roll at Milford School at the time of application ,5,8
2021,Milford School,936,2315,936/2315,Nearest School,Defined Residence,Children for whom the school is the nearest to their home address as measured by straight line - the nearest school will be the school closest to the home address that has a Published Admission Number to admit pupils of the appropriate age range and which admits local children. The nearest school may be either inside or outside the county boundary.,6,29
2021,Milford School,936,2315,936/2315,Others by Distance,Distance,"Any other children, prioritised according to the distance they live from the school",7,9
2021,Milford School,936,2315,936/2315,Centrally offered,Central & Lates,Children offered a place but for whom this school was not one of their preferred schools,8,0
2021,Milford School,936,2315,936/2315,EHCP,Priority,"Children with an Education, Health and Care Plan",9,0
2021,Milford School,936,2315,936/2315,Lates,Central & Lates,Places offered to children of applicants who had applied late,10,0
2021,Moss Lane School,936,2409,936/2409,LAC & PLAC,Priority,Looked after and previously looked after children,1,0
2021,Moss Lane School,936,2409,936/2409,Exceptional,Priority,Exceptional social/medical need,2,0
2021,Moss Lane School,936,2409,936/2409,Siblings,Family Ties,"Children who will have a sibling at the school or at an infant/junior school which operates shared sibling priority, at the time of the child’s admission",3,7
2021,Moss Lane School,936,2409,936/2409,Nearest School,Defined Residence,Children for whom the school is the nearest to their home address as measured by straight line - the nearest school will be the school closest to the home address that has a Published Admission Number to admit pupils of the appropriate age range and which admits local children. The nearest school may be either inside or outside the county boundary.,4,29
2021,Moss Lane School,936,2409,936/2409,Others by Distance,Distance,"Any other children, prioritised according to the distance they live from the school",5,22
2021,Moss Lane School,936,2409,936/2409,Centrally offered,Central & Lates,Children offered a place but for whom this school was not one of their preferred schools,6,0
2021,Moss Lane School,936,2409,936/2409,EHCP,Priority,"Children with an Education, Health and Care Plan",7,0
2021,Moss Lane School,936,2409,936/2409,Lates,Central & Lates,Places offered to children of applicants who had applied late,8,1
2021,Park Mead Primary School,936,5211,936/5211,LAC & PLAC,Priority,Looked after and previously looked after children,1,0
2021,Park Mead Primary School,936,5211,936/5211,Exceptional,Priority,Exceptional social/medical need,2,0
2021,Park Mead Primary School,936,5211,936/5211,Siblings,Family Ties,"Children who will have a sibling at the school or at an infant/junior school which operates shared sibling priority, at the time of the child’s admission",3,26
2021,Park Mead Primary School,936,5211,936/5211,Others by Distance,Distance,"Any other children, prioritised according to the distance they live from the school",4,34
2021,Park Mead Primary School,936,5211,936/5211,Centrally offered,Central & Lates,Children offered a place but for whom this school was not one of their preferred schools,5,0
2021,Park Mead Primary School,936,5211,936/5211,EHCP,Priority,"Children with an Education, Health and Care Plan",6,0
2021,Park Mead Primary School,936,5211,936/5211,Lates,Central & Lates,Places offered to children of applicants who had applied late,7,0
2021,Potters Gate Church of England Primary School,936,3062,936/3062,LAC & PLAC,Priority,Looked after and previously looked after children,1,0
2021,Potters Gate Church of England Primary School,936,3062,936/3062,Exceptional,Priority,Exceptional social/medical need,2,1
2021,Potters Gate Church of England Primary School,936,3062,936/3062,Siblings,Family Ties,"Children who will have a sibling at the school or at an infant/junior school which operates shared sibling priority, at the time of the child’s admission",3,23
2021,Potters Gate Church of England Primary School,936,3062,936/3062,Children of staff,Family Ties,Children of permanent members of staff where the member of staff has been employed at the school for two or more years at the time at which the application for admission to the school is made; and/or the member of staff is recruited to fill a vacant post for which there is a demonstrable skill shortage,4,1
2021,Potters Gate Church of England Primary School,936,3062,936/3062,Others by Distance,Distance,"Any other children, prioritised according to the distance they live from the school",5,27
2021,Potters Gate Church of England Primary School,936,3062,936/3062,Centrally offered,Central & Lates,Children offered a place but for whom this school was not one of their preferred schools,6,0
2021,Potters Gate Church of England Primary School,936,3062,936/3062,EHCP,Priority,"Children with an Education, Health and Care Plan",7,0
2021,Potters Gate Church of England Primary School,936,3062,936/3062,Lates,Central & Lates,Places offered to children of applicants who had applied late,8,2
2021,Shottermill Infant School,936,2138,936/2138,LAC & PLAC,Priority,Looked after and previously looked after children,1,0
2021,Shottermill Infant School,936,2138,936/2138,Exceptional,Priority,Exceptional social/medical need,2,0
2021,Shottermill Infant School,936,2138,936/2138,Children of staff,Family Ties,Children of staff,3,0
2021,Shottermill Infant School,936,2138,936/2138,Siblings,Family Ties,"Children who will have a sibling at the school or at an infant/junior school which operates shared sibling priority, at the time of the child’s admission",4,25
2021,Shottermill Infant School,936,2138,936/2138,Nearest School,Defined Residence,Children for whom the school is the nearest to their home address as measured by straight line - the nearest school will be the school closest to the home address that has a Published Admission Number to admit pupils of the appropriate age range and which admits local children. The nearest school may be either inside or outside the county boundary.,5,24
2021,Shottermill Infant School,936,2138,936/2138,Others by Distance,Distance,"Any other children, prioritised according to the distance they live from the school",6,10
2021,Shottermill Infant School,936,2138,936/2138,Centrally offered,Central & Lates,Children offered a place but for whom this school was not one of their preferred schools,7,0
2021,Shottermill Infant School,936,2138,936/2138,EHCP,Priority,"Children with an Education, Health and Care Plan",8,1
2021,Shottermill Infant School,936,2138,936/2138,Lates,Central & Lates,Places offered to children of applicants who had applied late,9,0
2021,South Farnham School,936,2479,936/2479,LAC & PLAC,Priority,Looked after and previously looked after children,1,1
2021,South Farnham School,936,2479,936/2479,Exceptional,Priority,Exceptional social/medical need,2,0
2021,South Farnham School,936,2479,936/2479,Children of staff,Family Ties,Children of permanent members of staff where the member of staff has been employed at the school for two or more years at the time at which the application for admission to the school is made; and/or the member of staff is recruited to fill a vacant post for which there is a demonstrable skill shortage,3,0
2021,South Farnham School,936,2479,936/2479,Siblings,Family Ties,"Children who will have a sibling at the school or at an infant/junior school which operates shared sibling priority, at the time of the child’s admission",4,40
2021,South Farnham School,936,2479,936/2479,Others by Distance,Distance,"Any other children, prioritised according to the distance they live from the school",5,47
2021,South Farnham School,936,2479,936/2479,Centrally offered,Central & Lates,Children offered a place but for whom this school was not one of their preferred schools,6,0
2021,South Farnham School,936,2479,936/2479,EHCP,Priority,"Children with an Education, Health and Care Plan",7,2
2021,South Farnham School,936,2479,936/2479,Lates,Central & Lates,Places offered to children of applicants who had applied late,8,0
2021,St Andrew's Church of England Infant School,936,3024,936/3024,LAC & PLAC,Priority,Looked after and previously looked after children,1,0
2021,St Andrew's Church of England Infant School,936,3024,936/3024,Exceptional,Priority,Exceptional social/medical need,2,0
2021,St Andrew's Church of England Infant School,936,3024,936/3024,Siblings,Family Ties,"Children who will have a sibling at the school or at an infant/junior school which operates shared sibling priority, at the time of the child’s admission",3,12
2021,St Andrew's Church of England Infant School,936,3024,936/3024,Others by Distance,Distance,"Any other children, prioritised according to the distance they live from the school",4,18
2021,St Andrew's Church of England Infant School,936,3024,936/3024,Centrally offered,Central & Lates,Children offered a place but for whom this school was not one of their preferred schools,5,0
2021,St Andrew's Church of England Infant School,936,3024,936/3024,EHCP,Priority,"Children with an Education, Health and Care Plan",6,0
2021,St Andrew's Church of England Infant School,936,3024,936/3024,Lates,Central & Lates,Places offered to children of applicants who had applied late,7,0
2021,St Bartholomew's Church of England (Aided) Primary School,936,3924,936/3924,LAC & PLAC,Priority,Looked after and previously looked after children,1,0
2021,St Bartholomew's Church of England (Aided) Primary School,936,3924,936/3924,Exceptional,Priority,Exceptional social/medical need,2,1
2021,St Bartholomew's Church of England (Aided) Primary School,936,3924,936/3924,Siblings,Family Ties,"Children who will have a sibling at the school or at an infant/junior school which operates shared sibling priority, at the time of the child’s admission",3,19
2021,St Bartholomew's Church of England (Aided) Primary School,936,3924,936/3924,Practising worship,Religion,Children whose parents regularly worship at St Bartholomew’s and/or St Christopher’s Churches in Haslemere,4,1
2021,St Bartholomew's Church of England (Aided) Primary School,936,3924,936/3924,Children of staff,Family Ties,Children of permanent members of staff where the member of staff has been employed at the school for two or more years at the time at which the application for admission to the school is made; and/or the member of staff is recruited to fill a vacant post for which there is a demonstrable skill shortage,5,1
2021,St Bartholomew's Church of England (Aided) Primary School,936,3924,936/3924,Others by Distance,Distance,"Any other children, prioritised according to the distance they live from the school",6,32
2021,St Bartholomew's Church of England (Aided) Primary School,936,3924,936/3924,Centrally offered,Central & Lates,Children offered a place but for whom this school was not one of their preferred schools,7,0
2021,St Bartholomew's Church of England (Aided) Primary School,936,3924,936/3924,EHCP,Priority,"Children with an Education, Health and Care Plan",8,1
2021,St Bartholomew's Church of England (Aided) Primary School,936,3924,936/3924,Lates,Central & Lates,Places offered to children of applicants who had applied late,9,2
2021,St Cuthbert Mayne Catholic Primary School,936,3475,936/3475,Catholic LAC & PLAC,Priority,Catholic looked after and previously looked after children,1,0
2021,St Cuthbert Mayne Catholic Primary School,936,3475,936/3475,Catholic Sibling Resident in Parish,Religion,"Catholic children with a brother or sister at the school at the time of admission, resident in the Cranleigh and Bramley parish",2,4
2021,St Cuthbert Mayne Catholic Primary School,936,3475,936/3475,Catholic Sibling,Religion,"Catholic children with a brother or sister at the school at the time of admission, who are not resident in the Cranleigh and Bramley parish",3,0
2021,St Cuthbert Mayne Catholic Primary School,936,3475,936/3475,Catholic Resident in Parish,Religion,"Catholic children without a brother or sister at the school at the time of admission, resident in the Cranleigh and Bramley parish",4,1
