"URN","LA (code)","EstablishmentName","EstablishmentTypeGroup (name)","PhaseOfEducation (name)","ReligiousCharacter (name)","PercentageFSM","DistrictAdministrative (name)","OfstedRating (name)"
116057,"850","Chalk Ridge Primary School","Local authority maintained schools","Primary","Does not apply","13.7","Basingstoke and Deane","Good"
116058,"850","Crofton Hammond Junior School","Local authority maintained schools","Primary","Does not apply","5.3","Fareham","Outstanding"
116059,"850","Potley Hill Primary School","Local authority maintained schools","Primary","Does not apply","6.9","Hart","Good"
116060,"850","Kings Copse Primary School","Local authority maintained schools","Primary","Does not apply","7.1","Eastleigh","Good"
116061,"850","Netley Abbey Junior School","Local authority maintained schools","Primary","Does not apply","16.5","Eastleigh","Good"
116063,"850","Balksbury Infant School","Local authority maintained schools","Primary","Does not apply","10.1","Test Valley","Outstanding"
116065,"850","Petersgate Infant School","Local authority maintained schools","Primary","Does not apply","12.1","East Hampshire","Good"
116067,"850","Springwood Junior School","Local authority maintained schools","Primary","Does not apply","18.7","Havant","Good"
116068,"850","Fordingbridge Junior School","Local authority maintained schools","Primary","Does not apply","9.8","New Forest","Good"
116069,"850","Fordingbridge Infant School","Local authority maintained schools","Primary","Does not apply","8.9","New Forest","Good"
116070,"850","Netley Abbey Infant School","Local authority maintained schools","Primary","Does not apply","9.1","Eastleigh","Good"
116071,"850","Greenfields Junior School","Local authority maintained schools","Primary","Does not apply","14.5","Hart","Good"
116072,"850","Shakespeare Junior School","Local authority maintained schools","Primary","Does not apply","14.6","Eastleigh","Good"
116073,"850","Marchwood Junior School","Local authority maintained schools","Primary","Does not apply","8.3","New Forest","Outstanding"
116074,"850","Colden Common Primary School","Local authority maintained schools","Primary","Does not apply","2.9","Winchester","Good"
116075,"850","Mayhill Junior School","Local authority maintained schools","Primary","Does not apply","12.9","Hart","Good"
116076,"850","Woolton Hill Junior School","Local authority maintained schools","Primary","Does not apply","16.3","Basingstoke and Deane","Good"
116078,"850","Norwood Primary School","Local authority maintained schools","Primary","Does not apply","15.5","Eastleigh","Good"
116079,"850","Red Barn Community Primary School","Local authority maintained schools","Primary","Does not apply","7.9","Fareham","Outstanding"
116080,"850","Newlands Primary School","Local authority maintained schools","Primary","Does not apply","4.7","Hart","Good"
116082,"850","Four Lanes Infant School","Local authority maintained schools","Primary","Does not apply","8.8","Basingstoke and Deane","Outstanding"
116083,"850","Castle Primary School","Local authority maintained schools","Primary","Does not apply","12.7","Fareham","Good"
116084,"850","Bidbury Infant School","Local authority maintained schools","Primary","Does not apply","17.6","Havant","Outstanding"
116137,"850","Hatch Warren Infant School","Local authority maintained schools","Primary","Does not apply","15.8","Basingstoke and Deane","Good"
116140,"850","Cove Junior School","Local authority maintained schools","Primary","Does not apply","11.3","Rushmoor","Good"
116141,"850","Cove Infant School","Local authority maintained schools","Primary","Does not apply","6.7","Rushmoor","Outstanding"
116142,"850","Tower Hill Primary School","Local authority maintained schools","Primary","Does not apply","23","Rushmoor","Outstanding"
116143,"850","Marlborough Infant School","Local authority maintained schools","Primary","Does not apply","3","Rushmoor","Good"
116144,"850","South Farnborough Infant School","Local authority maintained schools","Primary","Does not apply","5.9","Rushmoor","Outstanding"
116145,"850","North Farnborough Infant School","Local authority maintained schools","Primary","Does not apply","1.8","Rushmoor","Outstanding"
116146,"850","Manor Junior School","Local authority maintained schools","Primary","Does not apply","20.9","Rushmoor","Good"
116147,"850","Grange Community Junior School","Local authority maintained schools","Primary","Does not apply","28.8","Rushmoor","Outstanding"
116149,"850","Talavera Junior School","Local authority maintained schools","Primary","Does not apply","9.6","Rushmoor","Outstanding"
116150,"850","Manor Infant School","Local authority maintained schools","Primary","Does not apply","20.1","Rushmoor","Outstanding"
116151,"850","Talavera Infant School","Local authority maintained schools","Primary","Does not apply","7.1","Rushmoor","Good"
116154,"850","Parsonage Farm Nursery and Infant School","Local authority maintained schools","Primary","Does not apply","6.4","Rushmoor","Outstanding"
116155,"850","South Farnborough Junior School","Local authority maintained schools","Primary","Does not apply","6.7","Rushmoor","Outstanding"
116157,"850","Guillemont Junior School","Local authority maintained schools","Primary","Does not apply","12.1","Rushmoor","Good"
116158,"850","Pinewood Infant School","Local authority maintained schools","Primary","Does not apply","10.3","Rushmoor","Good"
116162,"850","Elson Junior School","Local authority maintained schools","Primary","Does not apply","13.5","Gosport","Requires improvement"
116163,"850","Elson Infant School","Local authority maintained schools","Primary","Does not apply","11.6","Gosport","Good"
116164,"850","Lee-on-the-Solent Junior School","Local authority maintained schools","Primary","Does not apply","11.4","Gosport","Requires improvement"
116165,"850","Haselworth Primary School","Local authority maintained schools","Primary","Does not apply","35.3","Gosport","Good"
116166,"850","Woodcot Primary School","Local authority maintained schools","Primary","Does not apply","16.5","Gosport","Good"
116168,"850","Rowner Infant School","Local authority maintained schools","Primary","Does not apply","26.8","Gosport","Good"
116169,"850","Alverstoke Community Infant School","Local authority maintained schools","Primary","Does not apply","3.4","Gosport","Outstanding"
116170,"850","Grange Junior School","Local authority maintained schools","Primary","Does not apply","24.8","Gosport","Good"
116171,"850","Grange Infant School","Local authority maintained schools","Primary","Does not apply","22.5","Gosport","Good"
116172,"850","Alver Valley Junior School","Local authority maintained schools","Primary","Does not apply","27","Gosport","Good"
116173,"850","Peel Common Infant School and Nursery Unit","Local authority maintained schools","Primary","Does not apply","8.7","Gosport","Good"
116174,"850","Alver Valley Infant and Nursery School","Local authority maintained schools","Primary","Does not apply","31.7","Gosport","Good"
116175,"850","Peel Common Junior School","Local authority maintained schools","Primary","Does not apply","12.9","Gosport","Good"
116176,"850","Gomer Infant School","Local authority maintained schools","Primary","Does not apply","8.3","Gosport","Outstanding"
116177,"850","Brockhurst Primary School","Local authority maintained schools","Primary","Does not apply","25.4","Gosport","Good"
116180,"850","Lee-On-the-Solent Infant and Nursery School","Local authority maintained schools","Primary","Does not apply","9","Gosport","Good"
116224,"850","Orchard Lea Infant School","Local authority maintained schools","Primary","Does not apply","12.4","Fareham","Good"
116225,"850","Orchard Lea Junior School","Local authority maintained schools","Primary","Does not apply","15.7","Fareham","Good"
116228,"850","Hook Infant School","Local authority maintained schools","Primary","Does not apply","6.5","Hart","Outstanding"
116230,"850","King's Furlong Infant School and Nursery","Local authority maintained schools","Primary","Does not apply","15.5","Basingstoke and Deane","Requires improvement"
116231,"850","Kings Furlong Junior School","Local authority maintained schools","Primary","Does not apply","23.1","Basingstoke and Deane","Good"
116232,"850","Fairfields Primary School","Local authority maintained schools","Primary","Does not apply","13.3","Basingstoke and Deane","Good"
116233,"850","Park Primary School","Local authority maintained schools","Primary","Does not apply","23.4","Rushmoor","Good"
116234,"850","Alderwood School","Local authority maintained schools","All-through","Does not apply","17","Rushmoor","Good"
116237,"850","Park View Primary School","Local authority maintained schools","Primary","Does not apply","30.7","Basingstoke and Deane","Good"
116241,"850","Harestock Primary School","Local authority maintained schools","Primary","Does not apply","12.5","Winchester","Good"
116242,"850","Weeke Primary School","Local authority maintained schools","Primary","Does not apply","9.1","Winchester","Good"
116243,"850","Hazel Wood Infant School","Local authority maintained schools","Primary","Does not apply","13.6","New Forest","Outstanding"
116244,"850","Hart Plain Junior School","Local authority maintained schools","Primary","Does not apply","36","Havant","Good"
116246,"850","Southwood Infant School","Local authority maintained schools","Primary","Does not apply","1.5","Rushmoor","Good"
116247,"850","Four Lanes Community Junior School","Local authority maintained schools","Primary","Does not apply","4","Basingstoke and Deane","Good"
116248,"850","Queen's Inclosure Primary School","Local authority maintained schools","Primary","Does not apply","4.8","Havant","Good"
116249,"850","Berrywood Primary School","Local authority maintained schools","Primary","Does not apply","4.4","Eastleigh","Good"
116250,"850","Woodlea Primary School","Local authority maintained schools","Primary","Does not apply","20.2","East Hampshire","Good"
116255,"850","Hatch Warren Junior School","Local authority maintained schools","Primary","Does not apply","12.5","Basingstoke and Deane","Good"
116256,"850","Nightingale Primary School","Local authority maintained schools","Primary","Does not apply","24.2","Eastleigh","Good"
116260,"850","Emsworth Primary School","Local authority maintained schools","Primary","Does not apply","12.5","Havant","Good"
116265,"850","Morelands Primary School","Local authority maintained schools","Primary","Does not apply","20.6","Havant","Requires improvement"
116266,"850","Abbotts Ann Church of England Primary School","Local authority maintained schools","Primary","Church of England","5.1","Test Valley","Good"
116267,"850","Saint Lawrence Church of England Primary School","Local authority maintained schools","Primary","Church of England","5.7","East Hampshire","Good"
116268,"850","Ampfield Church of England Primary School","Local authority maintained schools","Primary","Church of England","25.6","Test Valley","Good"
116269,"850","Andover Church of England Primary School","Local authority maintained schools","Primary","Church of England","23","Test Valley","Good"
116270,"850","Barton Stacey Church of England Primary School","Local authority maintained schools","Primary","Church of England","4.3","Test Valley","Good"
116271,"850","Binsted Church of England Primary School","Local authority maintained schools","Primary","Church of England","3.4","East Hampshire","Good"
116273,"850","Botley Church of England Controlled Primary School","Local authority maintained schools","Primary","Church of England","6.8","Eastleigh","Outstanding"
116275,"850","Breamore Church of England Primary School","Local authority maintained schools","Primary","Church of England","10.9","New Forest","Good"
116276,"850","Brockenhurst Church of England Primary School","Local authority maintained schools","Primary","Church of England","8.9","New Forest","Good"
116277,"850","Bursledon Church of England Infant School","Local authority maintained schools","Primary","Church of England","17.6","Eastleigh","Good"
116278,"850","Bramley Church of England Primary School","Local authority maintained schools","Primary","Church of England","15","Basingstoke and Deane","Good"
116279,"850","Bentley Church of England Primary School","Local authority maintained schools","Primary","Church of England","3.6","East Hampshire","Outstanding"
116280,"850","Catherington Church of England Infant School","Local authority maintained schools","Primary","Church of England","2.5","East Hampshire","Good"
116281,"850","Chawton Church of England Primary School","Local authority maintained schools","Primary","Church of England","6.1","East Hampshire","Good"
116282,"850","Copythorne CofE Infant School","Local authority maintained schools","Primary","Church of England","2.2","New Forest","Good"
116283,"850","Durley Church of England Controlled Primary School","Local authority maintained schools","Primary","Church of England","4.8","Winchester","Outstanding"
116284,"850","East Meon Church of England Controlled Primary School","Local authority maintained schools","Primary","Church of England","9.7","East Hampshire","Good"
116285,"850","Ecchinswell and Sydmonton Church of England Primary School","Local authority maintained schools","Primary","Church of England","23.9","Basingstoke and Deane","Good"
