school_key,urn,establishment_number,dfe_number,school_name,school_type,school_status,religious_character,statutory_low_age,statutory_high_age,percentage_fsm,administrative_district,school_capacity,census_date,number_of_pupils,number_of_boys,number_of_girls,number_of_fsm,ofsted_rating_name,ofsted_last_insp,street,locality,address3,town,county,postcode,school_website,telephone_num,head_title,head_first_name,head_last_name,head_preferred_job_title,ofsted_rating_score
55,147066,2050,850/2050,Boorley Park,Free Schools,Open,Does not apply,4,11,19.4,Eastleigh,420,21-01-2021,72,36,36,14,Not reported,,Boorley Park Primary School,7 Nairn Road,Boorley Park,Botley,Hampshire,SO32 2SH,www.boorleyparkprimary.org,01489737970,Mrs,Tamsin,Sillars,,
56,128688,2051,850/2051,Lapford Primary School,Local authority maintained schools,Closed,Does not apply,,,,,,,,,,,Not reported,,,,,,,,,,,,,Headteacher,
57,147519,2052,850/2052,St Anne's Catholic Primary School,Academies,Open,Roman Catholic,4,11,10,Basingstoke and Deane,210,21-01-2021,251,122,129,25,Not reported,,Pinkerton Road,South Ham,,Basingstoke,Hampshire,RG22 6RE,www.st-annes.hants.sch.uk,01256464165,Headteacher,Martine,Sadie,,
58,115881,2053,850/2053,Droxford Junior School,Local authority maintained schools,Open,Does not apply,7,11,6.9,Winchester,180,21-01-2021,173,97,76,12,Outstanding,21-03-2012,Union Lane,Droxford,,Southampton,Hampshire,SO32 3QR,www.droxfordjunior.co.uk/,01489877537,Mr,Matthew,Dampier,Headteacher,1
59,115882,2054,850/2054,Denmead Infant School,Local authority maintained schools,Open,Does not apply,4,7,14.4,Winchester,270,21-01-2021,257,127,130,37,Good,20-02-2018,Hambledon Road,Denmead,,Waterlooville,Hampshire,PO7 6PN,http://denmeadinfantschool.co.uk/,02392262717,,Jane,Clabon,Headteacher,2
60,115883,2055,850/2055,Wildground Junior School,Local authority maintained schools,Open,Does not apply,7,11,35.3,New Forest,243,21-01-2021,207,108,99,73,Good,16-10-2019,Armitage Avenue,Dibden Purlieu,,Southampton,Hampshire,SO45 4LG,www.wildground.hants.sch.uk/,02380844001,Mrs,Amanda,Mullett,Executive Headteacher,2
61,115884,2056,850/2056,Fryern Junior School,Local authority maintained schools,Open,Does not apply,7,11,18.8,Eastleigh,270,21-01-2021,320,145,175,60,Good,06-12-2018,Oakmount Road,Chandler's Ford,,Eastleigh,Hampshire,SO53 2LN,www.fryernfederation.co.uk/,02380254155,Mrs,Angela,Morrow,Headteacher,2
62,115885,2057,850/2057,Wildground Infant School,Local authority maintained schools,Open,Does not apply,2,7,30.8,New Forest,210,21-01-2021,191,113,78,40,Good,13-09-2017,Crete Road,Dibden Purlieu,,Southampton,Hampshire,SO45 4JX,www.wildground.hants.sch.uk/,02380844001,Mrs,Amanda,Mullett,Executive Headteacher,2
63,147701,2058,850/2058,St Columba CE Primary School,Academies,Open,Church of England,4,11,30.7,Fareham,220,21-01-2021,127,74,53,39,Not reported,,Tewkesbury Avenue,,,Fareham,Hampshire,PO15 6LL,www.stcolumbaprimary.co.uk,01329843226,Mrs,Tracey,Marsh,,
64,147836,2059,850/2059,Barton Farm Primary Academy,Free Schools,Open,Does not Apply,4,11,17.9,Winchester,420,21-01-2021,28,17,11,5,Not reported,,Barton Farm Primary Academy,Glazier Road,Kings Barton,Winchester,Hampshire,SO22 6HS,https://bartonfarmacademy.co.uk/,01962798844,Mrs,Nicola,Wells,,
65,147852,2060,850/2060,Stoneham Park Primary Academy,Free Schools,Open,Does not Apply,4,11,19,Eastleigh,315,21-01-2021,21,11,10,4,Not reported,,21 Whieldon Way,North Stoneham Park,,Eastleigh,Hampshire,SO50 9SB,stonehamparkacademy.co.uk,02380518833,Mrs,Nicola,Wells,,
66,115886,2061,850/2061,The Crescent Primary School,Local authority maintained schools,Open,Does not apply,4,11,22.4,Eastleigh,630,21-01-2021,615,302,313,138,Good,28-02-2018,The Crescent Primary School,Toynbee Road,,Eastleigh,Hampshire,SO50 9DH,http://www.thecrescentprimary.com,02380612536,Miss,Sarah,Mullins,Headteacher,2
67,115887,2062,850/2062,Cherbourg Primary School,Local authority maintained schools,Open,Does not apply,4,11,32.2,Eastleigh,400,21-01-2021,401,203,198,129,Good,23-01-2018,Cherbourg Road,,,Eastleigh,Hampshire,SO50 5QF,www.cherbourg.org.uk,02380612557,Mrs,Wendy,Smith,Headteacher,2
68,115888,2063,850/2063,Shakespeare Infant School,Local authority maintained schools,Open,Does not apply,5,7,18.6,Eastleigh,270,21-01-2021,264,137,127,49,Outstanding,08-05-2009,Shakespeare Road,,,Eastleigh,Hampshire,SO50 4FZ,www.shakespeareinfantschool.co.uk,02380573888,Mrs,Nikki,Wilson,Headteacher,1
69,148385,2064,850/2064,Marnel Junior School,Academies,Open,Does not apply,7,11,,Basingstoke and Deane,480,,,,,,Not reported,,Shetland Road,Popley Way,,Basingstoke,Hampshire,RG24 9PT,https://www.marneljuniorschool.co.uk/,01256328670,Mr,Tijhs,Jordan,,
70,115889,2067,850/2067,Wallisdean Junior School,Local authority maintained schools,Open,Does not apply,7,11,28.4,Fareham,240,21-01-2021,215,107,108,61,Good,07-10-2021,Wallisdean Avenue,,,Fareham,Hampshire,PO14 1HU,https://wallisdean.co.uk/,01329232571,Mrs,Sandra,Cammish,Headteacher,2
71,115890,2069,850/2069,Uplands Primary School,Local authority maintained schools,Open,Does not apply,4,11,6.4,Fareham,315,21-01-2021,314,164,150,20,Good,18-07-2017,Morshead Crescent,,,Fareham,Hampshire,PO16 7QP,http://www.uplands.hants.sch.uk,01329232878,Mrs,Sarah,Ackerman,Headteacher,2
72,115891,2071,850/2071,Fair Oak Infant School,Local authority maintained schools,Open,Does not apply,5,7,9.1,Eastleigh,360,21-01-2021,429,207,222,39,Good,29-09-2021,Botley Road,Fair Oak,,Eastleigh,Hampshire,SO50 7AN,http://www.fairoakinfant.co.uk,02380692207,Mr,David,Peart,Headteacher,2
73,115892,2074,850/2074,Redlands Primary School,Local authority maintained schools,Open,Does not apply,4,11,14.4,Fareham,315,21-01-2021,312,169,143,45,Outstanding,01-11-2017,Redlands Lane,,,Fareham,Hampshire,PO16 0UD,www.redlandsprimaryhants.co.uk/,01329234012,Mr,Kevin,Harcombe,Headteacher,1
74,115893,2076,850/2076,Wallisdean Infant School,Local authority maintained schools,Open,Does not apply,3,7,30.9,Fareham,180,21-01-2021,165,79,86,51,Outstanding,12-12-2014,Wallisdean Avenue,,,Fareham,Hampshire,PO14 1HT,www.wallisdean.co.uk/,01329280827,Mrs,Sandra,Cammish,Executive Head Teacher,1
76,141473,2077,850/2077,Fawley Infant School,Academies,Open,Does not apply,4,7,25.8,New Forest,90,21-01-2021,62,39,23,16,Good,04-07-2017,School Road,Fawley,,Southampton,Hampshire,SO45 1EA,http://www.fawley.hants.sch.uk/,02380897391,Mrs,Zoe,Doyle,Headteacher,2
80,115897,2085,850/2085,Grateley Primary School,Local authority maintained schools,Open,Does not apply,4,11,8.6,Test Valley,105,21-01-2021,93,49,44,8,Good,03-05-2018,Grateley,,,Andover,Hampshire,SP11 8JS,http://www.grateley.hants.sch.uk,01264889240,Mrs,Rachel,Dance,Headteacher,2
81,115898,2086,850/2086,Greatham Primary School,Local authority maintained schools,Open,Does not apply,4,11,8.4,East Hampshire,210,21-01-2021,167,91,76,14,Good,15-01-2020,Petersfield Road,Greatham,,Liss,Hampshire,GU33 6HA,www.greathamschool.co.uk,01420538224,Miss,Jo,Goman,Headteacher,2
84,115899,2089,850/2089,Waterside Primary School,Local authority maintained schools,Open,Does not apply,4,11,36.2,New Forest,210,21-01-2021,188,91,97,68,Good,09-05-2019,Ashford Crescent,Hythe,,Southampton,Hampshire,SO45 6ET,www.waterside.hants.sch.uk/,02380842143,Mrs,Emma,Moakes,Headteacher,2
85,115900,2090,850/2090,Hale Primary School,Local authority maintained schools,Open,Does not apply,4,11,4.2,New Forest,98,21-01-2021,96,43,53,4,Good,09-05-2018,Hatchett Green,Hale,,Fordingbridge,Hampshire,SP6 2NE,www.hale.hants.sch.uk/,01725510436,Mrs,Emma,Clark,Headteacher,2
86,115901,2091,850/2091,Hamble Primary School,Local authority maintained schools,Open,Does not apply,4,11,17.9,Eastleigh,360,21-01-2021,347,183,164,62,Good,05-06-2019,Hamble Lane,Hamble,,Southampton,Hampshire,SO31 4ND,www.hamble-pri.hants.sch.uk/,02380453298,Mrs,Claire,Hewitt (Acting Headteacher),Headteacher,2
87,115902,2092,850/2092,Hambledon Primary School,Local authority maintained schools,Open,Does not apply,4,11,5.2,Winchester,110,21-01-2021,97,48,49,5,Outstanding,03-10-2014,Church Lane,Hambledon,,Waterlooville,Hampshire,PO7 4RT,http://www.hambledon.hants.sch.uk/,02392632440,Mrs,Adrienne,Blower,Headteacher,1
88,115903,2094,850/2094,Oakwood Infant School,Local authority maintained schools,Open,Does not apply,4,7,10.7,Hart,270,21-01-2021,234,128,106,25,Outstanding,03-07-2008,Church Lane,Hartley Wintney,,Hook,Hampshire,RG27 8DY,www.greenoaks.org.uk,01252842663,Mrs,Sue,Tadman,Headteacher,1
89,115904,2095,850/2095,Fairfield Infant School,Local authority maintained schools,Open,Does not apply,4,7,21.4,Havant,270,21-01-2021,252,134,118,54,Good,12-07-2018,Fairfield Road,,,Havant,Hampshire,PO9 1AY,http://www.fairfield.hants.sch.uk/,02392483029,Miss,L,Jelliff,Headteacher,2
94,115908,2100,850/2100,Riders Junior School,Local authority maintained schools,Open,Does not apply,7,11,58.2,Havant,360,21-01-2021,299,150,149,174,Requires improvement,15-09-2021,Kingsclere Avenue,Leigh Park,,Havant,Hampshire,PO9 4RY,www.ridersschools.co.uk/,02392475342,Mr,David,England,Executive Headteacher,3
95,115909,2101,850/2101,Riders Infant School,Local authority maintained schools,Open,Does not apply,4,7,57.5,Havant,270,21-01-2021,200,105,95,115,Requires improvement,13-11-2019,Kingsclere Avenue,Leigh Park,,Havant,Hampshire,PO9 4RY,www.ridersschools.co.uk,02392475342,Mr,David,England,Executive Headteacher,3
97,115911,2103,850/2103,Trosnant Junior School,Local authority maintained schools,Open,Does not apply,7,11,52.6,Havant,270,21-01-2021,251,131,120,132,Good,21-03-2017,Stockheath Lane,Leigh Park,,Havant,Hampshire,PO9 3BD,www.trosnantschools.co.uk,02392475606,Mr,Ian,Waine,Executive Headteacher,2
98,115912,2104,850/2104,Trosnant Infant School,Local authority maintained schools,Open,Does not apply,4,7,54.6,Havant,180,21-01-2021,174,101,73,95,Good,18-01-2017,Stockheath Lane,Leigh Park,,Havant,Hampshire,PO9 3BD,Www.trosnantschools.co.uk,02392475606,Mr,Ian,Waine,Executive Headteacher,2
99,115913,2105,850/2105,Hawley Primary School,Local authority maintained schools,Open,Does not apply,4,11,6.9,Hart,315,21-01-2021,304,160,144,21,Good,13-12-2016,Hawley Road,Blackwater,,Camberley,Surrey,GU17 9BH,www.hawleyprimary.co.uk,0127631048,Miss,Jane,Baker,Headteacher,2
100,115914,2106,850/2106,Mill Rythe Junior School,Local authority maintained schools,Open,Does not apply,7,11,16.1,Havant,360,21-01-2021,285,125,160,46,Outstanding,29-06-2011,Havant Road,,,Hayling Island,Hampshire,PO11 0PA,www.millrythejunior.co.uk/,02392463663,Miss,Rebecca,Vousden,Headteacher,1
101,136078,2107,850/2107,Barncroft Primary School,Local authority maintained schools,Open,Does not apply,4,11,36.4,Havant,420,21-01-2021,418,202,216,152,Good,04-03-2020,Park Lane,,,Havant,Hampshire,PO9 3HN,www.barncroftprimary.co.uk,02392482331,Mrs,Sara,Petipher,,2
103,115915,2111,850/2111,Tiptoe Primary School,Local authority maintained schools,Open,Does not apply,5,11,10.7,New Forest,119,21-01-2021,131,66,65,14,Good,15-06-2017,Wootton Road,Tiptoe,,Lymington,Hampshire,SO41 6FU,http://www.tiptoe.hants.sch.uk,01590682375,Mrs,Helen,Smith,Headteacher,2
104,115916,2113,850/2113,Hythe Primary School,Local authority maintained schools,Open,Does not apply,4,11,15.7,New Forest,315,21-01-2021,299,152,147,47,Requires improvement,06-02-2019,School Road,Hythe,,Southampton,Hampshire,SO45 6BL,www.hytheprimaryschool.co.uk,02380843206,Miss,Charlotte,Peppard,Headteacher,3
106,115918,2115,850/2115,Freegrounds Infant School,Local authority maintained schools,Open,Does not apply,5,7,11.5,Eastleigh,270,21-01-2021,244,129,115,28,Good,03-10-2017,Hobb Lane,Hedge End,,Southampton,Hampshire,SO30 0GG,http://www.freegrounds-inf.hants.sch.uk/,01489782075,Mrs,Nikki,Riches,Headteacher,2
